id,date,store_id,product_id,product_name,gmv,unit_sold,commission,roi
379,2026-03-01,FR02OS001,25414826482,Special freemir Panci Sup Black Series 18 cm Panci Susu Rebus MPASI bebas BPA PFOA,237719.0,3,15394.38,15.441934004487353
380,2026-03-01,FR02OS001,16558153568,[OFFICIAL] freemir Piring 14 cm set 4 Pcs Wheat Straw Serving Plate/Set Piring Ukuran Sedang/Hampers/Set Kado Unik,231217.0,5,6354.48,36.3864549105513
381,2026-03-01,FR02OS001,25234837351,Special freemir Wajan Panci Jumbo Beige Granite Series 30 cm Anti Lengket bisa Presto Masak Apapun,217782.0,1,4355.64,49.99999999999999
382,2026-03-01,FR02OS001,44552039833,Official freemir Set 7 Pcs Panci anti lengket + set peralatan masak baja tahan karat 316 Foodgrade Cocok untuk MPASl Cocok untuk kompor induksi,215600.0,1,4312.0,50.0
383,2026-03-01,FR02OS001,27251641737,[OFFICIAL ] freemir  anti lengket wajan  wajan penggorengan anti lengket  wajan kecil Wajan 16 CM warna Hitam  Anti Lengket Serbaguna,208415.0,3,5532.36,37.67198808465104
384,2026-03-01,FR02OS001,9715613311,[OFFICIAL BEST SELLER] freemir Panci Stainless Steel 2/3 Susun Dan Tutup Panci Kukus  Panci Steamer Kapasitas Besar 33CM SNI GARANSI,193140.0,1,3862.8,50.0
385,2026-03-01,FR02OS001,24420211458,Special freemir Wajan Panci Granite Black Series 24cm Kedalaman 10cm Masak Anti Lengket Serbaguna,183920.0,1,3678.4,50.0
386,2026-03-01,FR02OS001,28032652992,[OFFICIAL] Kompor Listrik GRATIS Magnet Kulkas Low Watt Hemat Energi Bahan Keramik Cepat Panas Anti Lengket Dengan GARANSI 100% KERUSAKAN,180798.0,1,3615.96,50.0
387,2026-03-01,FR02OS001,43765116154,freemir Panci Susu Gemoy Stainless Steel 16cm Panci Sauce Pan 304 Serbaguna panci masak air stainless steel,179100.0,1,3582.0,50.0
388,2026-03-01,FR02OS001,27100501050,[OFFICIAL MALL] freemir Wajan Panci 24CM Wajan Anti lengket Wajan Panci Hitam Wajan Serbaguna,174152.0,1,3483.04,50.0
389,2026-03-01,FR02OS001,26456759710,Special freemir Wajan Presto Granite Beige Series 24cm Panci Anti Lengket Bisa Kompor Apapun,171600.0,1,3432.0,50.0
390,2026-03-01,FR02OS001,29519551426,Special freemir  Kompor Listrik Keramik Mini 400-800W Kompor Induksi 1 Tahun Garansi,169865.0,1,3397.3,50.0
391,2026-03-01,FR02OS001,27703622943,[OFFICIAL MALL] freemir Panci Elektrik Ukuran 15cm Kapasitas 1.2L 450 W Serbaguna Cocok untuk Kost panci listrik,162014.0,2,6480.56,25.0
392,2026-03-01,FR02OS001,49402841595,freemir Kotak Bento Kotak Penyimpan Makanan Mangkuk Penyimpan Makanan Mangkuk Salad,158712.0,4,18015.84,8.80958090213945
393,2026-03-01,FR02OS001,25019733170,[OFFICIAL] freemir Wajan Beige 20 cm Kedalaman 7 cm Dengan Tutup Bahan Granit Anti Lengket Wajan Serbaguna,157840.0,1,15784.0,10.0
394,2026-03-01,FR02OS001,29382700966,[OFFICIAL] freemir Deep Fryer Stainless Steel Set Bertutup kaca Handle Kayu Foodgrade Goreng Rebus,153013.0,1,3060.26,49.99999999999999
395,2026-03-01,FR02OS001,44313788529,[OFFICIAL] freemir Frying Pan Anti lengket Pan 16cm Bahan Paduan Aluminium Merah Muda,148520.0,2,2970.4,50.0
396,2026-03-01,FR02OS001,40570551250,Special freemir Panci 304 stainless steel Putih dengan uapSatu pot 24cm untuk berbagai kegunaan kapal uap Panci dan wajan dapur,145926.0,1,2918.52,50.0
397,2026-03-01,FR02OS001,44418689804,NEW special freemir Set api-wajan penggorengan 20cm sus304 Panci anti lengket mudah dibersihkan Pegangan anti-panas Panci dan wajan dapur,144257.0,1,5770.28,25.0
398,2026-03-01,FR02OS001,24446754373,"Special freemir Wajan Panci Aladin Granite Anti Lengket 20cm Wajan serbaguna kapasitas besar 2,8L Lebih Sehat Ringan Praktis Multifungsi Kitchenware",135822.0,1,2716.44,50.0
399,2026-03-01,FR02OS001,40820750182,"Offical freemir Wokpan Anti Lengket 20cm Wajan Penggorengan pink Panci dan wajan dapur Cocok untuk menumis, omelet dan menggoreng",119592.0,1,2391.84,50.0
400,2026-03-01,FR02OS001,23055070317,[OFFICIAL MALL] freemir Aluminum Pan  20cm Anti Lengket gagang Kayu Ekstra Besar Peralatan Dapur Memasak Serbaguna,116857.0,1,2337.14,50.0
401,2026-03-01,FR02OS001,29174528415,freemir Wadah Penyimpanan Makanan Kedap Udara - Toples Kue Kering & Kurma Persiapan Ramadhan,95920.0,1,3836.8,25.0
403,2026-03-01,FR02OS001,42926312112,freemir Wheat Straw Coffee Cup,69120.0,3,2764.8,25.0
404,2026-03-01,FR02OS001,44020555516,"freemir 24cm Micro-pressure Glass Lid, Beige/Black",69000.0,1,1380.0,50.0
405,2026-03-01,FR02OS001,15812952905,[OFFICIAL ] freemir Wajan Penggorengan 24cm Warna Krem Beige Anti Lengket dengan gagang serat kayu,68202.0,1,1364.04,50.0
406,2026-03-01,FR02OS001,25827440794,[OFFICIAL] freemir Pisau Set 5 Pcs Beige Anti Karat Multifungsi Pengupas Buah/Memotong Sayuran/Mengiris Aneka Bahan Makan Berkualitas,66158.0,1,2646.32,25.0
407,2026-03-01,FR02OS001,46505871043,freemir Kantong Penyimpanan Beras & Air 3.5L/5L/10L Food Grade Foldable Storage Bag Anti Serangga & Lembab Wadah Minyak Goreng Portable Camping Persiapan Puasa,33250.0,1,498.75,66.66666666666667
408,2026-03-02,FR02OS001,23183569195,[OFFICIAL] freemir Frypan Granite Black Series wajan penggorengan anti lengket 16/20/24cm wajan anti lengket,12568361.0,178,509170.78,24.683979312402805
409,2026-03-02,FR02OS001,11176160330,Special freemir Frypan Granite Anti Lengket 16/20/24cm Wajan Penggorengan Serbaguna Gagang Kayu,7351322.0,73,285122.0,25.78307531512826
410,2026-03-02,FR02OS001,23779738215,Special freemir Panci MPASI Bunga Sakura Pink Series  20cm Foodgrade Cocok untuk MPASI Anti Lengket,6469923.0,37,476397.94,13.580921445630096
411,2026-03-02,FR02OS001,47750258349,Special freemir Panci Stainless Steel 316 Serbaguna 3in1 Kukusan + Panci Susu MPASI Bayi | Steamer Mini untuk Kompor Semua Jenis,5614482.0,25,341857.36,16.42346386808814
412,2026-03-02,FR02OS001,27058023899,[OFFICIAL] freemir Set 7 Pcs Wajan Panci Anti Lengket Lapisan Granit Alat Masak Lengkap Tutup Kaca,5344659.0,9,485500.36,11.00855826347894
413,2026-03-02,FR02OS001,26151466611,Special freemir Wokpan Anti Lengket 20cm Wajan Penggorengan Beige Dengan Gagang Serat Kayu 1.8L/2.0L,5133104.0,42,296408.96,17.317641140132874
414,2026-03-02,FR02OS001,16696108972,Special Buy 1 get 1 freemir Wajan Teflon Sakura Series 20/18cm Mpasi Approve Anti Lengket Serhaguna,4180639.0,17,308805.84,13.538082699472263
415,2026-03-02,FR02OS001,20095519950,free Wajan Presto Special freemir Wajan Sultan Granite Premium Lengkap 26/24/20/20/16cm Anti Lengket,3907980.0,4,116934.6,33.42021950731434
416,2026-03-02,FR02OS001,4230022492,Special freemir Hadiah Untuk Ibu Spesial Ramadhan - Toples Kaca Set 4 in 1 Hampers Lebaran Cantik,3459053.0,32,72924.8,47.43315031374786
417,2026-03-02,FR02OS001,24780239599,Special freemir Wajan Panci Set 7Pcs 26/20/20/16cm Granite Anti LengketTutup Kaca Alat Masak Lengkap,3447664.0,5,68953.28,50.0
418,2026-03-02,FR02OS001,29505512998,Special freemir Panci Kukus Tingkat 24cm Stainless Steel Anti Karat Kukus Rebus Dalam Satu Waktu,3409930.0,22,159332.66,21.401324750368193
419,2026-03-02,FR02OS001,54250334723,Special free hadiah New 2026 freemir Slow Rice Cooker Digital 1.2L Low Sugar Magic Com MPASI Bayi,3096905.0,6,168434.12,18.386446879052773
420,2026-03-02,FR02OS001,18631804071,Special freemir Panci Kukus Rebus 2 Susun Masak Nasi 20 Menit Lebih Cepat  Stainless Steel panci kukusan stainless steel 304,3078948.0,13,142977.04,21.534562472408155
421,2026-03-02,FR02OS001,25931730833,Special freemir Panci Mpasi Gemoy Viral Serbaguna 16cm Granite Anti Lengket dan tumpah Multifungsi,2688125.0,16,118538.08,22.677311797187873
