export_item_id_dashboard_down_item,export_item_name_dashboard_down_item,export_price_dashboard_down_item(Rp),export_sales_dashboard_down_item(Rp),export_item_sold_dashboard_down_item,export_orders_dashboard_down_item,export_clicks_dashboard_down_item,export_est_commission_dashboard_down_item(Rp),export_roi_dashboard_down_item,export_total_buyers_dashboard_down_item,export_new_buyers_dashboard_down_item
26727085402,Special freemir Smart Rice Cooker Touchscreen Penanak Nasi 1.5L 400W MPASI Stainless 304 Lapisan Keramik Anti Lengket,604000,2330272,3,3,940,187196.8,12.4,3,1
29264953615,Special Buy 1 get 1 freemir Wajan Teflon Sakura White Series 20/18cm Mpasi Approve Anti Lengket,230000,2219307,10,10,81,98840.24,22.5,10,6
29505512998,Special freemir Panci Kukus Tingkat 24cm Stainless Steel Anti Karat Kukus Rebus Dalam Satu Waktu,184000,2041876,13,12,286,126402.22,16.2,12,9
25310529969,Special freemir 0-Coating Panci Stainless Steel type 316 Premium 24/20  Cm Serbaguna Anti Lengket,354000,1942430,5,5,281,164153.28,11.8,5,2
19794946359,Special freemir Frypan Granite Black Series Anti Lengket 20/24cm Serbaguna Masak Apapun Tanpa Minyak,134900,1844498,15,15,353,120099.74,15.4,15,12
44368396753,Special freemir Seri Api-304 Double Bottom Stainless Steel 5-Piece Set No coating is healthier Compatible with a variety of stoves Microwave available,724000,1801486,3,3,26,36029.72,50.0,3,2
22838112302,[OFFICIAL] freemir Wajan Penggorengan 24 cm Anti Lengket Gagang Kayu Serbaguna,84000,1635254,16,11,284,55783.54,29.3,11,7
25931730833,Special freemir Panci Mpasi Gemoy Viral Serbaguna 16cm Granite Anti Lengket dan tumpah Multifungsi,140000,1632008,10,8,520,68386.72,23.9,8,5
25214386431,[New Launch] freemir Spatula Sutil Cantik Silikon Beige Alat Masak Anti Leleh Food Grade,29900,1594892,163,158,271,130672.02,12.2,158,78
25119005763,Special freemir Panci Kukus Rebus 2/3 Susun 26cm Stainless Steel Anti Karat kukus dan rebus 4.5L,224900,1520908,8,8,114,95614.64,15.9,8,7
29277083816,[OFFICIAL] freemir Digital Rice Cooker Digital Aesthetic Low Carbo/ Rice Cooker Digital / Penanak Nasi /Smart touch screen rice cooker 1.2L 400W,804000,1394410,2,2,84,55776.4,25.0,2,2
41601537323,Special freemir Panci Susu Gemoy Stainless Steel 16cm Panci Sauce Pan 304 Serbaguna Dengan Tutup panci mpasi bayi,204000,1384545,8,8,276,87012.14,15.9,8,6
19386160842,Special freemir Paket Hemat Wajan Panci Granite Set MPASI Serbaguna Hemat 4Pcs Anti Lengket Premium,649900,1351049,3,3,9,17610.04,76.7,3,3
43718394103,[OFFICIAL]freemir Seri Api-304 Double Bottom Stainless Steel 5-Piece Set No coating is healthier Compatible with a variety of stoves Microwave available,724000,1316443,2,1,11,26328.86,50.0,1,1
41050731133,freemir Panci Susu 1.2L Mini Milk Pot Gemoy Kopi Susu Granit Panci Anti Lengket Rebus Mie Serbaguna,140000,1311020,8,8,222,112032.46,11.7,8,3
23183569195,[OFFICIAL] freemir Frypan Granite Black Series wajan penggorengan anti lengket 16/20/24cm wajan anti lengket,84900,1275958,14,13,713,93394.26,13.7,13,11
22588766844,Special Buy 1 get 1 freemir Wajan Teflon Black Series 24cm Granit Anti Lengket Gagang Kayu Serbaguna,421000,1265434,4,4,30,86324.2,14.7,4,0
42405168412,"Special freemir  Wajan Frying Pan Stainless Steel SUS 316 Masak Anti Lengket, Panas Merata Foodgrade",354000,1191869,4,4,129,48454.88,24.6,4,1
43851759836,Ramadan Special freemir Panci Besar 10L Micro Pressure 30cm Anti Lengket [Beige/Hitam] - Spesial Masak Rendang Opor Lebaran,295000,1175021,3,3,538,52872.18,22.2,3,2
26151466611,Special freemir Wokpan Anti Lengket 20cm Wajan Penggorengan Beige Dengan Gagang Serat Kayu 1.8L/2.0L,151000,1174508,9,9,499,39362.8,29.8,9,5
42426727421,"Special freemir Panci Kukus Stainless 26cm Kapasitas besar 3/4/5 lapis, Pengukus nasi cocok untuk mengukus Hadiah Puasa untuk Keluarga nasi dan ikan sebagai",294000,1158724,3,3,8,29542.32,39.2,3,2
42950026367,[OFFICIAL] Baru freemir Mini Electric Cooker White 1.2L Anti Lengket Pengukus Serbaguna Foodgrade panci listrik panci kukus,134000,1118034,10,10,748,57819.48,19.3,10,7
41070742868,"Special freemir Panci Kukus Stainless 26cm Kapasitas besar 2 lapis, cocok untuk mengukus nasi dan ikan sebagai makanan pendamping ASI anak",294000,1085462,4,4,107,26580.58,40.8,4,2
48956654041,freemir Nusantara Series Wajan penggorengan stainless 316 Honeycomb Wajan goreng 3 Lapis Rak Tiris Minyak [24/36cm],398500,1079930,2,2,21,16107.43,67.0,2,2
40370504237,Special freemir Panci Presto Sultan 10L Beige - Spesial Masak Besar Sahur & Buka Puasa Anti Lengket,295000,1075908,3,3,72,43036.32,25.0,3,2
25234837351,Special freemir Wajan Panci Jumbo Beige Granite Series 30 cm Anti Lengket bisa Presto Masak Apapun,304000,1033506,4,4,34,65955.68,15.7,4,3
23187302310,[OFFICIAL] freemir Wajan Panci 20 Cm Tutup Kaca Wajan Anti Lengket Hitam/Beige Lapisan Granit,200000,980186,6,6,164,29203.4,33.6,6,6
28661133923,Special free Gift Paket Hemat freemir Wajan Panci Set 20cm Granite Anti Lengket Serbaguna Foodgrade,588000,926601,2,2,50,55170.02,16.8,2,2
23773222742,[OFFICIAL] freemir Wajan Penggorengan 20 cm Beige Anti Lengket GARANSI 100% KERUSAKAN,124000,896508,8,8,18,42490.8,21.1,8,6
42310713216,Special freemir Wokpan Cekung 20/24cm Wajan Anti Lengket Corong Anti Tumpah  Foodgrade Masak Serbaguna,151000,886911,7,7,120,63537.82,14.0,7,5
27841519903,Special freemir Wajan Stainless Set Serie API SUS304 Induksi Bottom Anti Karat Panas Cepat Merata,174000,881429,4,4,2090,54848.98,16.1,4,3
